選手スラッグ,選手名,読み,プロフィール種別,カテゴリ,年度,使用確認時期,更新日,公開状態,プロ詳細URL,並び順,クラブカテゴリ,番手,メーカー,モデル,ロフト,シャフトメーカー,シャフトモデル,シャフト重量,フレックス,キャリー距離,総距離,クラブ別メモ,主な確認ソース,主な確認ソースURL,ソース確認日,全ソースURL,プロフィール概要
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,6,Iron,6I,,X FORGED STAR アイアン＜2024年＞,,,NSプロ モーダス3 システム3 ツアー125,,X,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,7,Iron,7I,,X FORGED STAR アイアン＜2024年＞,,,NSプロ モーダス3 システム3 ツアー125,,X,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,8,Iron,8I,,X FORGED STAR アイアン＜2024年＞,,,NSプロ モーダス3 システム3 ツアー125,,X,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,9,Iron,9I,,X FORGED STAR アイアン＜2024年＞,,,NSプロ モーダス3 システム3 ツアー125,,X,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,10,Wedge,PW,,X FORGED STAR アイアン＜2024年＞,,,NSプロ モーダス3 システム3 ツアー125,,X,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,11,Wedge,50°,,プロトコンセプト RR,50°,,トゥルーテンパー ダイナミックゴールドEX ウェイトロック ツアーイシュー,,X100,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,12,Wedge,54°,,プロトコンセプト RR,54°,,トゥルーテンパー ダイナミックゴールドEX ウェイトロック ツアーイシュー,,X100,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,13,Wedge,58°,,プロトコンセプト RR,58°,,トゥルーテンパー ダイナミックゴールドEX ウェイトロック ツアーイシュー,,X100,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,14,Wedge,60°,,プロトコンセプト RR,60°,,トゥルーテンパー ダイナミックゴールドEX ウェイトロック ツアーイシュー,,X100,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
yosuke-asaji,浅地 洋佑,アサジ ヨウスケ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yosuke-asaji,15,Putter,,,ミルドコレクション TX パター #6M,,,,,,,,GDO「浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 浅地洋佑 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/6659/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6659/2026/1/ | https://news.golfdigest.co.jp/players/setting/6659/2025/1/,東建ホームメイトカップ時点で確認できた浅地 洋佑のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,1,Driver,1W,,GT2 ドライバー,10°,,ツアーAD FI,70g台,X,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,2,Fairway Wood,3W,,ステルス2 フェアウェイウッド,15°,,Tour AD(ツアー エーディ)DI,75g,X,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,3,Fairway Wood,5W,,ステルス2 フェアウェイウッド,18°,,Tour AD(ツアー エーディ)DI,90g台,X,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,4,Iron,4I,,221CB アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,5,Iron,5I,Bridgestone,ブリヂストン 220MB アイアン プロトタイプ,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,6,Iron,6I,Bridgestone,ブリヂストン 220MB アイアン プロトタイプ,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,7,Iron,7I,Bridgestone,ブリヂストン 220MB アイアン プロトタイプ,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,8,Iron,8I,Bridgestone,ブリヂストン 220MB アイアン プロトタイプ,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,9,Iron,9I,Bridgestone,ブリヂストン 220MB アイアン プロトタイプ,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,10,Wedge,47°,,ジューシー tTウェッジ,47°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,11,Wedge,52°,,ジューシー tTウェッジ,52°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,12,Wedge,55°,,ジューシー tTウェッジ,55°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,13,Wedge,60°,,ジューシー tTウェッジ,60°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,X100,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
taisei-shimizu,清水 大成,シミズ タイセイ,tour_pro,verified_batch,2026,2026年 東建ホームメイトカップ,2026-05-21,true,https://www.mybagpro.jp/pros/taisei-shimizu,14,Putter,,Scotty Cameron,スコッティキャメロン 009M GSSパター,,,,,,,,GDO「清水大成 クラブセッティング 2026年 東建ホームメイトカップ」（取材：2026年 東建ホームメイトカップ）で確認。,GDO 清水大成 クラブセッティング 2026年 東建ホームメイトカップ,https://news.golfdigest.co.jp/players/setting/17195/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/17195/2026/1/ | https://news.golfdigest.co.jp/players/setting/17195/,東建ホームメイトカップ時点で確認できた清水 大成のクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,1,Driver,1W,,TSR2 ドライバー,10°,,VENTUS HB BLACK(ベンタス ハイブリッド ブラック),60g台,X,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,2,Fairway Wood,3W,,TSR3 フェアウェイ メタル,15°,,三菱ケミカル テンセイAV RAWブルー,75g,TX,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,3,Utility,UT,,TSi2 ユーティリティメタル,21°,,Tour AD(ツアー エーディ)IZハイブリッド,95g,X,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,4,Iron,4I,,T100 アイアン＜2025年＞,,,トゥルーテンパー プロジェクトX,125g,6.5,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,5,Iron,5I,,T100 アイアン＜2025年＞,,,トゥルーテンパー プロジェクトX,125g,6.5,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,6,Iron,6I,,T100 アイアン＜2025年＞,,,トゥルーテンパー プロジェクトX,125g,6.5,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,7,Iron,7I,,T100 アイアン＜2025年＞,,,トゥルーテンパー プロジェクトX,125g,6.5,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,8,Iron,8I,,T100 アイアン＜2025年＞,,,トゥルーテンパー プロジェクトX,125g,6.5,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,9,Iron,9I,,T100 アイアン＜2025年＞,,,トゥルーテンパー プロジェクトX,125g,6.5,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
jordan-spieth,ジョーダン・スピース,ジョーダン・スピース,tour_pro,verified_batch,2026,2026年 WMフェニックスオープン,2026-05-21,true,https://www.mybagpro.jp/pros/jordan-spieth,10,Wedge,46°,Titleist,VOKEY(ボーケイ)SM11 ウェッジ,46°,,トゥルーテンパー プロジェクトX,120g,6.0,,,GDO「ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン」（取材：2026年 WMフェニックスオープン）で確認。,GDO ジョーダン・スピース クラブセッティング 2026年 WMフェニックスオープン,https://news.golfdigest.co.jp/players/setting/8581/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/8581/2026/1/ | https://www.pgatour.com/player/34046/jordan-spieth/career | https://www.pgatour.com/player/34046/jordan-spieth/stats | https://news.golfdigest.co.jp/players/setting/8581/,WMフェニックスオープン時点で確認できたジョーダン・スピースのクラブセッティングと使用ボールを掲載するプロフィール。
